2020-11-20 18:03:50,119 [AUDIT] Token created by 'anonymous': tokenId='dcc143e7-fd01-4ebe-bb1a-ce42538a322f', issuer='jfrou@01eqkd6zhk8r4xcexy3b01r3ws', subject='jfrou@01eqkd6zhk8r4xcexy3b01r3ws', expiry=none, refreshable=false
2020-11-20 18:03:51,256 [AUDIT] Token created by 'anonymous': tokenId='c8913546-72c6-49c1-b11f-e2775eacf02c', issuer='jfac@01eqkd6j04s2ts1p2j3vtt1b7b', subject='jfac@01eqkd6j04s2ts1p2j3vtt1b7b', expiry=1605895551251, refreshable=false
2020-11-20 18:03:51,410 [AUDIT] Token created by 'anonymous': tokenId='92ac5353-156f-4b22-a57c-3ae5d54a5bdc', issuer='jfac@01eqkd6j04s2ts1p2j3vtt1b7b', subject='jfac@01eqkd6j04s2ts1p2j3vtt1b7b', expiry=1605895551406, refreshable=false
2020-11-20 18:03:51,638 [AUDIT] Token created by 'anonymous': tokenId='64d47f04-ba21-4579-b472-573252b09b33', issuer='jfac@01eqkd6j04s2ts1p2j3vtt1b7b', subject='jfac@01eqkd6j04s2ts1p2j3vtt1b7b', expiry=1605895551636, refreshable=false
2020-11-20 18:03:52,059 [AUDIT] Token created by 'anonymous': tokenId='15cee7f3-2751-4a73-a54d-fd8b65fbfffb', issuer='jfac@01eqkd6j04s2ts1p2j3vtt1b7b', subject='jfac@01eqkd6j04s2ts1p2j3vtt1b7b', expiry=1605895552054, refreshable=false
2020-11-20 18:03:52,722 [AUDIT] Token created by 'anonymous': tokenId='4fd3fde1-134d-4dff-b4d4-e095e7b2e980', issuer='jfmd@01eqkd70jx1er24yqq53p7r4rw', subject='jfmd@01eqkd70jx1er24yqq53p7r4rw', expiry=none, refreshable=false
2020-11-20 18:03:52,876 [AUDIT] Token created by 'anonymous': tokenId='8a21d7c6-95a0-422e-960a-22c05d21cccf', issuer='jfac@01eqkd6j04s2ts1p2j3vtt1b7b', subject='jfac@01eqkd6j04s2ts1p2j3vtt1b7b', expiry=1605895552874, refreshable=false
2020-11-20 18:03:54,051 [AUDIT] Token created by 'anonymous': tokenId='fb25110c-6b1a-45b3-803f-b90d655aad2b', issuer='jfrt@01eqkd7b3qmbjr10ged4mv1r9r', subject='jfrt@01eqkd7b3qmbjr10ged4mv1r9r', expiry=none, refreshable=false
2020-11-20 18:03:55,967 [AUDIT] Token created by 'jfrt@01eqkd7b3qmbjr10ged4mv1r9r': tokenId='f7144f7c-86e3-4502-97db-96840ba6dcba', issuer='jfrt@01eqkd7b3qmbjr10ged4mv1r9r', subject='jfrt@01eqkd7b3qmbjr10ged4mv1r9r', expiry=2551975435965, refreshable=false
2020-11-20 18:04:04,781 [AUDIT] Token created by 'anonymous': tokenId='da810bc6-e410-4d4f-8c99-3fff91c6800e', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-11-20 18:04:04,849 [AUDIT] Token created by 'jffe@000': tokenId='02d425f5-ebaf-4617-b528-384c1dbf6a27', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1605896044849, refreshable=false
2020-11-20 18:14:07,438 [AUDIT] Token created by 'jffe@000': tokenId='97e08db4-80d4-47b6-be14-4f9ddc29de0b', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1605896647438, refreshable=false
2020-11-20 18:14:07,440 [AUDIT] Token created by 'jffe@000': tokenId='6a4bb95b-0664-4e24-85f5-c89bf44667c9', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1605896647439, refreshable=false
2020-11-20 18:14:07,440 [AUDIT] Token created by 'jffe@000': tokenId='5683772e-ffe8-4543-8b2e-59ab797dbf6e', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1605896647440, refreshable=false
2020-11-20 18:14:07,450 [AUDIT] Token created by 'jffe@000': tokenId='6de77b9e-ec64-4fe6-83cb-7ea83f497b82', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1605896647440, refreshable=false
